form	segmentation	pos	morph_tag
kēlādi	kēl-ad-i	verb	ad-ANTIP
kilum	kēl-o=m	verb	MOD.PAT=2SG.ABS
kēlum	kēl-o=m	verb	MOD.PAT=2SG.ABS
kēlula	kēl-ol-a	verb	ol-3A.SG
kēlōla	kēl-ol-a	verb	ol-3A.SG
kīgi	kīge	NUM	.ABS
kīgie	kīge	NUM	.ABS
kīzirriva	kīziri-ne-va	noun	RELAT.SG-DAT
kīzīrriva	kīziri-ne-va	noun	RELAT.SG-DAT
mana	man-a	PRON	ESS
māna	man-a	PRON	ESS
maġirri	maġiri-ne-e	noun	RELAT.SG-DIR/LOC
māġirri	maġiri-ne-e	noun	RELAT.SG-DIR/LOC
meġa	meġ-a	verb	INT
mēġa	meġ-a	verb	INT
mužuniž	mužoni-ž	noun	ERG
mužunniž	mužoni-ž	noun	ERG
madaffa	mādi-a=ffa	noun	ESS=2PL.ABS
madappa	mādi-a=ffa	noun	ESS=2PL.ABS
madāppa	mādi-a=ffa	noun	ESS=2PL.ABS
mādaffa	mādi-a=ffa	noun	ESS=2PL.ABS
mādappa	mādi-a=ffa	noun	ESS=2PL.ABS
mādinibi	mādi-ne-ve	noun	RELAT.SG-GEN
mādinivi	mādi-ne-ve	noun	RELAT.SG-GEN
mana	mān+a	PRON	
māna	mān+a	PRON	
mānnubōr	mānn-o-vor	verb	INT-NEG
mānnōbur	mānn-o-vor	verb	INT-NEG
mānie	mānne	PRON	.ABS
mānni	mānne	PRON	.ABS
murrina	mōrri-na	noun	RELAT.PL.ABS
mōrrina	mōrri-na	noun	RELAT.PL.ABS
nabarbinida	nabarbi-ne-da	noun	RELAT.SG-DIR
nabarbinēda	nabarbi-ne-da	noun	RELAT.SG-DIR
nabarbinibi	nabarbi-ne-ve	noun	RELAT.SG-GEN
nabarbinie	nabarbi-ne-ve	noun	RELAT.SG-GEN
nabnida	nabni-i-da	noun	3POSS.SG-DIR
nabnīda	nabni-i-da	noun	3POSS.SG-DIR
nāinažuž	nai-na-až-ož	noun	RELAT.PL-PL-ERG
nāināžuž	nai-na-až-ož	noun	RELAT.PL-PL-ERG
nakkidaššu	nakk-ed-aššo	verb	FUT-2A.PL
nakkidaššō	nakk-ed-aššo	verb	FUT-2A.PL
nammallāža	namli-na-až-a	noun	RELAT.PL-PL-DAT/ESS
nāmallāža	namli-na-až-a	noun	RELAT.PL-PL-DAT/ESS
navanida	nav-an-ed-a	verb	CAUS-FUT-3A.SG
navanida	nav-an-ed-a	verb	an-FUT-3A.SG
nave	nave	noun	.ABS
nābi	nave	noun	.ABS
naḫḫuža	naḫḫ+o+že-a	noun	ESS
naḫḫōža	naḫḫ+o+že-a	noun	ESS
naḫḫilāi	naḫḫ-i-l-ai	verb	MOD.AG-l-PURP
nāġelāi	naḫḫ-i-l-ai	verb	MOD.AG-l-PURP
naḫḫuža	naḫḫ-ož-a	verb	PST-3A.SG
naḫḫōža	naḫḫ-ož-a	verb	PST-3A.SG
negri	negri	noun	.ABS
nigri	negri	noun	.ABS
neri	nera-i	noun	3POSS.SG.ABS
nēri	nera-i	noun	3POSS.SG.ABS
nerīda	nera-i-da	noun	3POSS.SG-DIR
nirida	nera-i-da	noun	3POSS.SG-DIR
nirīda	nera-i-da	noun	3POSS.SG-DIR
nērida	nera-i-da	noun	3POSS.SG-DIR
neri	neri	noun	.ABS
nēri	neri	noun	.ABS
nirida	neri-da	noun	DIR
nērida	neri-da	noun	DIR
nerēda	neri-i-da	noun	3POSS.SG-DIR
nerīda	neri-i-da	noun	3POSS.SG-DIR
nirida	neri-i-da	noun	3POSS.SG-DIR
nirīda	neri-i-da	noun	3POSS.SG-DIR
nērida	neri-i-da	noun	3POSS.SG-DIR
nešši	nešši	noun	.ABS
nēšši	nešši	noun	.ABS
ninuwava	ninuwa-va	noun	DAT
ninuwāva	ninuwa-va	noun	DAT
ninuwāve	ninuwa-ve	noun	GEN
nīnuwave	ninuwa-ve	noun	GEN
nerubādi	nir+o+bāde	ADJ	.ABS
nirubādi	nir+o+bāde	ADJ	.ABS
niġe	niġe	noun	.ABS
niġi	niġe	noun	.ABS
niġeffi	niġe-iffe	noun	1POSS.SG.ABS
niġippi	niġe-iffe	noun	1POSS.SG.ABS
