form	segmentation	pos	morph_tag
kirarnež	kir+ari+ni-ž	noun	ERG
kivōrġēnivōž	kiv+ōr+ġē-ne-ve-ož	noun	RELAT.SG-GEN-EQU
kivōrġēnivōž	kiv+ōr+ġē-ne-ve-ož	noun	RELAT.SG-GEN-ERG
kiāžēni	kiaže-ne	noun	ABL/INS
kiāžēni	kiaže-ne-e	noun	RELAT.SG-DIR/LOC
kiġenež	kiġe-ne-ž	noun	RELAT.SG-ERG
kiġenež	kiʾe-ne-ž	noun	RELAT.SG-ERG
kiġenež	kiḫḫe-ne-ž	noun	RELAT.SG-ERG
kiškižiaššenina	kiš+kiž+i+a+šše+ni-na	noun	RELAT.PL.ABS
kiškižiaššenina	kiš+kiž+i+a+šše-ne-nna	noun	RELAT.SG-EQU2
kišḫida	kešḫi-da	noun	DIR
kišḫida	kešḫi-i-da	noun	3POSS.SG-DIR
kišḫini	kešḫi-ne	noun	ABL/INS
kišḫini	kešḫi-ne-e	noun	RELAT.SG-DIR/LOC
kubāġinel	kubāġi-ne-e=l	noun	RELAT.SG-DIR/LOC=3PL.ABS
kubāġinel	kubāġi-ne-ž=l	noun	RELAT.SG-ERG=3PL.ABS
kubāġinel	kubāġi-ne=l	noun	ABL/INS=3PL.ABS
kula	kol-a	verb	INT
kula	kul-a	verb	INT
kulamū	kul-am-aw	verb	FACT-1A.SG
kulamū	kul-am-u	verb	FACT-MED
kulamū	kul-am-u-aw	verb	FACT-MED-1A.SG
kuldum	kul-d-o=m	verb	d-MOD.PAT=CON
kuldum	kul-d-u=m	verb	d-MED=2SG.ABS
kullāe	kol-i-l-ai	verb	MOD.AG-l-PURP
kullāe	kul-i-l-ai	verb	MOD.AG-l-PURP
kulmu	kulm-o	verb	MOD.PAT
kulmu	kulm-u	verb	MED
kulmurri	kulm+o+re-ne	noun	ABL/INS
kulmurri	kulm+o+re-ne-e	noun	RELAT.SG-DIR/LOC
kulumbi	kulumbi	noun	.ABS
kulumbi	kulumbi-i	noun	3POSS.SG.ABS
kulužašši	kul-ož-a-šše	verb	PST-3A.SG-NMLZ.ABS
kulužašši	mal-ož-a-šše	verb	PST-3A.SG-NMLZ.ABS
kulziž	kulzi-i-ž	noun	3POSS.SG-ERG
kulziž	kulzi-ž	noun	ERG
